i,c16,i,i,i,i
1,Gold,82500,55,5,19
1,Marble,7700,77,1,15
1,Copper,7500,5,5,8
1,Marble,155000,31,7,20
1,Aluminum,45000,90,3,14
1,Gold,4500,9,3,17
1,Gold,225000,45,7,5
1,Sandstone,5700,57,1,15
1,Sandstone,270000,54,7,6
1,Sandstone,82500,55,5,17
1,Gold,75000,75,4,7
1,Marble,7000,14,3,6
1,Marble,78000,39,6,14
1,Sandstone,9200,92,1,15
1,Marble,270000,54,7,14
1,Copper,19200,96,2,17
1,Gold,19400,97,2,19
1,Marble,3000,2,5,16
1,Marble,16500,33,3,20
1,Sandstone,120000,60,6,1
1,Sandstone,38000,76,3,4
1,Aluminum,116000,58,6,16
1,Aluminum,105000,70,5,9
1,Sandstone,335000,67,7,10
1,Copper,150000,100,5,2
1,Iron,32000,16,6,11
1,Iron,28000,28,4,19
1,Aluminum,4500,9,3,3
1,Iron,43000,86,3,10
1,Copper,8000,8,4,1
1,Sandstone,8200,82,1,14
1,Gold,115500,77,5,11
1,Aluminum,81000,81,4,4
1,Gold,136000,68,6,3
1,Aluminum,14400,72,2,14
1,Iron,79500,53,5,3
1,Aluminum,18500,37,3,8
1,Marble,35000,35,4,15
1,Gold,106000,53,6,18
1,Marble,14000,70,2,13
1,Iron,69000,46,5,19
1,Gold,19200,96,2,12
1,Copper,87000,87,4,20
1,Sandstone,14200,71,2,9
1,Marble,100000,50,6,17
1,Aluminum,41500,83,3,11
1,Marble,13600,68,2,17
1,Copper,92000,92,4,2
1,Gold,10600,53,2,8
1,Gold,380000,76,7,12
1,Aluminum,1000,10,1,20
1,Gold,39500,79,3,20
1,Aluminum,1000,10,1,3
1,Aluminum,4300,43,1,13
1,Aluminum,132000,88,5,16
1,Marble,90000,90,4,4
1,Sandstone,27000,54,3,6
1,Copper,10500,7,5,13
1,Copper,142000,71,6,8
1,Copper,19500,39,3,8
1,Sandstone,4500,9,3,13
1,Iron,192000,96,6,8
1,Copper,20000,20,4,17
1,Marble,42000,42,4,17
1,Marble,40000,40,4,19
1,Iron,100500,67,5,14
1,Sandstone,81000,81,4,15
1,Iron,80000,16,7,16
1,Copper,127500,85,5,9
1,Marble,60000,60,4,6
1,Marble,20000,100,2,19
1,Aluminum,275000,55,7,5
1,Iron,96000,64,5,17
1,Iron,20000,10,6,1
1,Marble,112500,75,5,6
1,Sandstone,25000,25,4,5
1,Sandstone,25000,25,4,1
1,Marble,95000,19,7,20
1,Sandstone,146000,73,6,1
1,Gold,78000,39,6,18
1,Gold,78000,39,6,11
1,Aluminum,450000,90,7,10
1,Sandstone,4800,24,2,10
1,Gold,10500,21,3,15
1,Aluminum,11400,57,2,9
1,Gold,117000,78,5,13
1,Sandstone,5600,56,1,9
1,Gold,184000,92,6,12
1,Sandstone,185000,37,7,12
1,Marble,65000,13,7,14
1,Iron,2200,11,2,18
1,Aluminum,46500,31,5,8
1,Gold,38500,77,3,11
1,Iron,156000,78,6,16
1,Copper,5200,26,2,8
1,Sandstone,27500,55,3,6
1,Gold,220000,44,7,6
1,Iron,200,2,1,17
1,Gold,32500,65,3,19
1,Aluminum,440000,88,7,14
1,Copper,14000,7,6,2
1,Gold,9400,47,2,18
1,Copper,47000,47,4,17
1,Sandstone,2000,1,6,9
1,Iron,22000,22,4,20
1,Sandstone,61500,41,5,13
1,Aluminum,27000,27,4,19
1,Sandstone,93000,93,4,6
1,Aluminum,19800,99,2,13
1,Copper,16800,84,2,15
1,Aluminum,20000,4,7,17
1,Marble,6500,13,3,14
1,Aluminum,11800,59,2,2
1,Marble,9200,46,2,7
1,Iron,230000,46,7,5
1,Sandstone,92000,92,4,11
1,Marble,390000,78,7,9
1,Marble,8700,87,1,6
1,Aluminum,31500,63,3,10
1,Iron,5300,53,1,18
1,Aluminum,10000,100,1,14
1,Gold,80000,16,7,2
1,Sandstone,7600,76,1,6
1,Copper,125000,25,7,8
1,Copper,22000,44,3,5
1,Marble,470000,94,7,19
1,Marble,40000,40,4,6
1,Copper,34500,23,5,14
1,Sandstone,48500,97,3,15
1,Gold,7100,71,1,10
1,Sandstone,42000,84,3,15
1,Gold,8200,41,2,4
1,Copper,425000,85,7,5
1,Aluminum,95000,19,7,2
1,Gold,1600,8,2,16
1,Sandstone,17800,89,2,9
1,Gold,136500,91,5,8
1,Sandstone,23500,47,3,5
1,Iron,15500,31,3,17
1,Gold,150000,100,5,7
1,Copper,8000,8,4,6
1,Gold,10000,100,1,4
1,Copper,2000,20,1,1
1,Sandstone,192000,96,6,14
1,Sandstone,103500,69,5,14
1,Iron,8000,8,4,3
1,Gold,14400,72,2,17
1,Iron,5400,27,2,10
1,Copper,40000,80,3,20
1,Aluminum,194000,97,6,6
1,Aluminum,7900,79,1,3
1,Sandstone,9200,92,1,18
1,Aluminum,136500,91,5,8
1,Aluminum,16800,84,2,8
1,Aluminum,4000,40,1,10
1,Iron,32500,65,3,18
1,Iron,12500,25,3,4
1,Aluminum,200,2,1,9
1,Aluminum,430000,86,7,4
1,Sandstone,184000,92,6,13
1,Gold,82000,82,4,13
1,Gold,178000,89,6,6
1,Aluminum,17500,35,3,20
1,Copper,100000,20,7,7
1,Marble,8000,8,4,1
1,Sandstone,22500,45,3,13
1,Copper,98000,49,6,8
1,Aluminum,12800,64,2,3
1,Iron,72000,36,6,7
1,Aluminum,27500,55,3,7
1,Marble,3000,6,3,11
1,Aluminum,24000,16,5,20
1,Marble,13500,9,5,11
1,Sandstone,7000,70,1,5
1,Iron,13000,65,2,16
1,Marble,45000,90,3,17
1,Aluminum,370000,74,7,16
1,Iron,35500,71,3,11
1,Gold,34500,23,5,19
1,Iron,14600,73,2,7
1,Copper,18400,92,2,11
1,Iron,62000,31,6,8
1,Sandstone,6600,33,2,17
1,Marble,68000,68,4,17
1,Iron,46000,46,4,15
1,Marble,5000,1,7,18
1,Iron,38000,19,6,2
1,Aluminum,14000,28,3,1
1,Sandstone,460000,92,7,8
1,Marble,305000,61,7,4
1,Sandstone,12000,8,5,19
1,Sandstone,7000,14,3,8
1,Copper,64500,43,5,7
1,Aluminum,9200,46,2,5
1,Copper,2000,10,2,14
1,Gold,110000,22,7,14
1,Iron,56000,56,4,3
1,Aluminum,64000,64,4,2
1,Gold,4800,48,1,2
1,Aluminum,45000,45,4,10
1,Copper,26000,13,6,7
1,Gold,5200,26,2,11
1,Gold,2000,1,6,2
1,Copper,9900,99,1,3
1,Aluminum,18400,92,2,10
1,Iron,2100,21,1,11
1,Iron,46000,92,3,12
1,Sandstone,6200,62,1,10
1,Gold,290000,58,7,8
1,Marble,77000,77,4,7
1,Marble,139500,93,5,11
1,Copper,68000,68,4,3
1,Marble,87000,87,4,6
1,Gold,127500,85,5,16
1,Aluminum,79500,53,5,18
1,Copper,14500,29,3,12
1,Gold,26000,13,6,4
1,Aluminum,32000,64,3,16
1,Marble,16000,8,6,17
1,Iron,44000,22,6,9
1,Gold,48500,97,3,20
1,Gold,900,9,1,10
1,Copper,174000,87,6,14
1,Marble,2400,24,1,9
1,Marble,9400,94,1,10
1,Sandstone,22000,44,3,3
1,Aluminum,3000,30,1,8
1,Iron,72000,48,5,8
1,Sandstone,21000,42,3,15
1,Sandstone,25000,5,7,2
1,Gold,135000,27,7,10
1,Iron,49500,33,5,10
1,Aluminum,79000,79,4,3
1,Sandstone,330000,66,7,20
1,Sandstone,2500,5,3,8
1,Gold,127500,85,5,20
1,Gold,9500,95,1,7
1,Copper,6200,62,1,15
1,Aluminum,31500,21,5,15
1,Copper,116000,58,6,1
1,Copper,33500,67,3,20
1,Gold,25000,25,4,2
1,Aluminum,12000,8,5,9
1,Gold,114000,76,5,12
1,Marble,425000,85,7,13
1,Iron,150000,75,6,18
1,Copper,1800,18,1,6
1,Copper,7700,77,1,12
1,Copper,4800,24,2,6
1,Gold,415000,83,7,18
1,Sandstone,35000,35,4,8
1,Sandstone,19500,39,3,18
1,Aluminum,20000,20,4,19
1,Aluminum,8100,81,1,20
1,Marble,8900,89,1,11
1,Marble,9800,49,2,5
1,Gold,1600,16,1,16
1,Copper,17000,34,3,14
1,Copper,52000,52,4,16
1,Copper,129000,86,5,12
1,Copper,52000,52,4,7
1,Gold,158000,79,6,1
1,Aluminum,178000,89,6,14
1,Gold,45000,45,4,12
1,Aluminum,66000,66,4,19
1,Marble,182000,91,6,7
1,Marble,24000,16,5,10
1,Sandstone,4500,9,3,13
1,Copper,9200,46,2,15
1,Copper,24500,49,3,7
1,Sandstone,78000,52,5,14
1,Aluminum,115500,77,5,7
1,Copper,16500,11,5,19
1,Gold,60000,12,7,3
1,Gold,31500,21,5,19
1,Gold,16000,32,3,20
1,Iron,40000,8,7,3
1,Iron,28500,57,3,1
1,Gold,2200,22,1,11
1,Gold,30000,30,4,2
1,Marble,120000,60,6,11
1,Aluminum,9500,19,3,17
1,Iron,8700,87,1,20
1,Gold,154000,77,6,16
1,Iron,18000,18,4,17
1,Iron,57000,38,5,14
1,Iron,125000,25,7,3
1,Sandstone,69000,46,5,17
1,Marble,5200,26,2,11
1,Aluminum,145000,29,7,5
1,Aluminum,3400,34,1,1
1,Iron,30000,60,3,5
1,Sandstone,7600,38,2,20
1,Sandstone,70000,35,6,20
1,Iron,62000,62,4,1
1,Marble,1000,5,2,18
1,Gold,3100,31,1,19
1,Marble,200,2,1,12
1,Iron,6500,13,3,14
1,Marble,87000,58,5,3
1,Iron,196000,98,6,15
1,Copper,140000,70,6,4
1,Sandstone,2100,21,1,1
1,Aluminum,73500,49,5,3
1,Copper,9400,94,1,14
1,Iron,70000,35,6,9
1,Aluminum,166000,83,6,6
1,Gold,43500,29,5,6
1,Copper,10000,10,4,8
1,Gold,9100,91,1,10
1,Copper,188000,94,6,18
1,Aluminum,42000,42,4,17
1,Gold,47500,95,3,4
1,Marble,25000,50,3,14
1,Sandstone,13500,27,3,12
1,Gold,42500,85,3,3
1,Copper,118500,79,5,4
1,Copper,50000,50,4,2
1,Marble,136000,68,6,6
1,Aluminum,75000,50,5,17
1,Iron,126000,84,5,12
1,Aluminum,63000,63,4,18
1,Aluminum,49000,98,3,18
1,Marble,21000,42,3,2
1,Copper,11000,11,4,8
1,Aluminum,112000,56,6,2
1,Marble,360000,72,7,2
1,Copper,6400,64,1,13
1,Iron,7000,70,1,4
1,Copper,5400,54,1,7
1,Sandstone,155000,31,7,15
1,Iron,48000,96,3,15
1,Sandstone,4000,20,2,18
1,Marble,100000,20,7,3
1,Aluminum,108000,72,5,17
1,Copper,182000,91,6,6
1,Iron,8800,44,2,8
1,Marble,20000,40,3,16
1,Aluminum,4600,23,2,10
1,Gold,19000,19,4,11
1,Sandstone,500000,100,7,15
1,Iron,1500,1,5,5
1,Sandstone,88500,59,5,1
1,Gold,320000,64,7,9
1,Gold,6000,30,2,13
1,Copper,5300,53,1,11
1,Marble,11000,55,2,15
1,Iron,210000,42,7,19
1,Copper,138000,69,6,5
1,Gold,114000,76,5,17
1,Gold,24000,24,4,17
1,Iron,2000,20,1,20
1,Iron,4400,44,1,16
1,Gold,10400,52,2,19
1,Marble,77000,77,4,10
1,Marble,7400,74,1,12
1,Copper,3500,35,1,15
1,Sandstone,120000,24,7,6
1,Sandstone,2800,14,2,12
1,Iron,17200,86,2,14
1,Gold,7600,38,2,11
1,Gold,31500,63,3,6
1,Iron,3500,7,3,5
1,Sandstone,11600,58,2,18
1,Iron,800,8,1,13
1,Gold,44500,89,3,8
1,Copper,12800,64,2,11
1,Gold,7300,73,1,9
1,Aluminum,20500,41,3,20
1,Aluminum,11800,59,2,14
1,Aluminum,7300,73,1,16
1,Copper,30000,15,6,14
1,Sandstone,8300,83,1,10
1,Gold,120000,60,6,1
1,Gold,13600,68,2,15
1,Sandstone,127500,85,5,15
1,Copper,7000,70,1,1
1,Gold,105000,70,5,9
1,Iron,91000,91,4,9
1,Gold,155000,31,7,9
1,Aluminum,74000,74,4,2
1,Gold,112000,56,6,3
1,Iron,485000,97,7,10
1,Iron,30000,30,4,17
1,Aluminum,5800,58,1,8
1,Gold,10800,54,2,6
1,Gold,69000,69,4,9
1,Copper,9600,96,1,5
1,Sandstone,27000,27,4,4
1,Marble,66000,33,6,2
1,Sandstone,106000,53,6,13
1,Copper,25500,17,5,19
1,Aluminum,23000,23,4,4
1,Gold,7700,77,1,2
1,Aluminum,1500,3,3,11
1,Marble,3900,39,1,18
1,Iron,3000,2,5,17
1,Iron,9800,98,1,7
1,Aluminum,33000,66,3,17
1,Copper,12000,6,6,16
1,Sandstone,34000,68,3,14
1,Iron,16600,83,2,16
1,Gold,6800,34,2,20
1,Sandstone,6800,68,1,6
1,Aluminum,225000,45,7,18
1,Sandstone,64000,32,6,4
1,Gold,150000,30,7,10
1,Iron,6900,69,1,16
1,Copper,2100,21,1,1
1,Iron,2500,25,1,6
1,Sandstone,320000,64,7,12
1,Iron,15400,77,2,13
1,Gold,8600,86,1,11
1,Copper,200,2,1,3
