i,c16,i,i,i,i
1,Marble,44000,22,6,14
1,Marble,31500,21,5,1
1,Copper,230000,46,7,17
1,Gold,148500,99,5,8
1,Iron,40000,80,3,18
1,Sandstone,7900,79,1,19
1,Aluminum,2600,13,2,6
1,Aluminum,395000,79,7,15
1,Sandstone,24000,24,4,9
1,Gold,30000,20,5,12
1,Sandstone,5000,10,3,12
1,Aluminum,13500,9,5,8
1,Marble,12000,8,5,14
1,Gold,75000,15,7,14
1,Sandstone,19200,96,2,17
1,Copper,13000,26,3,6
1,Marble,5000,1,7,9
1,Aluminum,35000,70,3,15
1,Marble,4400,44,1,8
1,Iron,295000,59,7,12
1,Aluminum,22500,45,3,10
1,Copper,13800,69,2,17
1,Aluminum,96000,96,4,10
1,Copper,118500,79,5,15
1,Copper,108000,54,6,6
1,Copper,46000,23,6,14
1,Copper,40000,8,7,10
1,Marble,47000,47,4,10
1,Gold,16200,81,2,20
1,Copper,99000,66,5,8
1,Iron,6200,31,2,12
1,Gold,8000,16,3,17
1,Copper,4100,41,1,3
1,Marble,61500,41,5,17
1,Copper,29000,58,3,12
1,Marble,42000,28,5,15
1,Aluminum,62000,62,4,3
1,Marble,25500,51,3,19
1,Gold,235000,47,7,3
1,Aluminum,5600,56,1,5
1,Gold,39000,39,4,19
1,Iron,141000,94,5,20
1,Sandstone,110000,55,6,8
1,Sandstone,17400,87,2,3
1,Aluminum,10000,100,1,19
1,Gold,3300,33,1,2
1,Aluminum,4000,8,3,2
1,Marble,405000,81,7,9
1,Copper,85500,57,5,5
1,Marble,5300,53,1,1
1,Aluminum,9900,99,1,14
1,Marble,4200,42,1,15
1,Aluminum,220000,44,7,17
1,Iron,28500,19,5,20
1,Gold,2000,1,6,13
1,Gold,139500,93,5,8
1,Aluminum,40500,27,5,15
1,Aluminum,79500,53,5,19
1,Iron,9500,95,1,13
1,Iron,88500,59,5,13
1,Gold,93000,93,4,7
1,Gold,9200,92,1,17
1,Marble,48000,32,5,12
1,Marble,55500,37,5,18
1,Aluminum,27000,27,4,11
1,Marble,87000,87,4,13
1,Copper,4600,23,2,17
1,Iron,435000,87,7,17
1,Iron,12500,25,3,19
1,Iron,87000,58,5,7
1,Gold,31500,21,5,15
1,Copper,122000,61,6,16
1,Iron,7000,35,2,11
1,Aluminum,84000,84,4,6
1,Sandstone,126000,63,6,15
1,Copper,5000,10,3,19
1,Sandstone,3100,31,1,7
1,Marble,165000,33,7,5
1,Iron,370000,74,7,18
1,Gold,13400,67,2,19
1,Marble,73000,73,4,9
1,Gold,6800,34,2,2
1,Sandstone,83000,83,4,6
1,Gold,20500,41,3,9
1,Gold,40000,40,4,4
1,Iron,9100,91,1,17
1,Aluminum,4500,3,5,5
1,Aluminum,37000,37,4,12
1,Marble,30000,15,6,7
1,Marble,6200,62,1,20
1,Gold,200000,40,7,15
1,Sandstone,19200,96,2,2
1,Marble,1500,15,1,7
1,Iron,38000,38,4,10
1,Copper,36000,36,4,19
1,Aluminum,215000,43,7,16
1,Copper,196000,98,6,7
1,Iron,3000,3,4,2
1,Iron,8900,89,1,17
1,Copper,1000,2,3,12
1,Copper,110000,55,6,17
1,Iron,12000,24,3,20
1,Marble,3000,2,5,11
1,Aluminum,6400,64,1,6
1,Marble,330000,66,7,20
1,Sandstone,14600,73,2,8
1,Aluminum,82000,41,6,18
1,Aluminum,4600,46,1,1
1,Copper,10000,10,4,12
1,Iron,24000,24,4,7
1,Copper,100500,67,5,10
1,Iron,6600,33,2,13
1,Iron,2200,11,2,18
1,Gold,144000,96,5,4
1,Marble,13400,67,2,20
1,Copper,94000,94,4,20
1,Iron,60000,60,4,15
1,Aluminum,2600,13,2,17
1,Sandstone,150000,30,7,11
1,Sandstone,109500,73,5,17
1,Marble,67000,67,4,4
1,Gold,28500,19,5,9
1,Marble,19000,95,2,16
1,Copper,54000,36,5,5
1,Marble,91000,91,4,12
1,Sandstone,290000,58,7,5
1,Copper,310000,62,7,15
1,Copper,6600,33,2,12
1,Sandstone,28000,56,3,18
1,Iron,60000,30,6,16
1,Copper,61500,41,5,16
1,Iron,445000,89,7,17
1,Gold,4500,45,1,7
1,Iron,65000,13,7,11
1,Marble,12000,24,3,13
1,Marble,102000,68,5,19
1,Gold,62000,31,6,9
1,Copper,4000,2,6,18
1,Aluminum,37000,37,4,6
1,Marble,76500,51,5,18
1,Sandstone,19500,13,5,16
1,Marble,186000,93,6,5
1,Iron,8800,88,1,3
1,Gold,13000,13,4,16
1,Gold,24000,24,4,2
1,Marble,330000,66,7,12
1,Aluminum,56000,56,4,1
1,Gold,7800,78,1,5
1,Copper,10000,100,1,4
1,Marble,47000,47,4,4
1,Marble,78000,39,6,2
1,Gold,17500,35,3,18
1,Gold,98000,98,4,10
1,Iron,330000,66,7,8
1,Iron,73500,49,5,17
1,Aluminum,6000,12,3,6
1,Iron,165000,33,7,1
1,Aluminum,100000,100,4,20
1,Sandstone,77000,77,4,13
1,Gold,27000,27,4,17
1,Sandstone,29000,58,3,5
1,Aluminum,12000,6,6,5
1,Marble,94500,63,5,15
1,Aluminum,49000,49,4,1
1,Copper,13500,27,3,2
1,Marble,148000,74,6,19
1,Copper,45000,45,4,8
1,Copper,8600,43,2,6
1,Aluminum,275000,55,7,16
1,Iron,29000,58,3,10
1,Sandstone,43500,87,3,12
1,Marble,9000,18,3,13
1,Aluminum,2100,21,1,3
1,Iron,7700,77,1,18
1,Sandstone,21000,42,3,12
1,Marble,25000,5,7,11
1,Aluminum,50000,25,6,1
1,Aluminum,1800,18,1,19
1,Iron,6000,4,5,20
1,Marble,45000,45,4,2
1,Aluminum,100500,67,5,16
1,Copper,9200,46,2,9
1,Aluminum,42000,42,4,10
1,Sandstone,100000,50,6,4
1,Gold,500,5,1,4
1,Gold,97000,97,4,19
1,Iron,9700,97,1,12
1,Iron,133500,89,5,9
1,Copper,400,2,2,18
1,Marble,3000,3,4,14
1,Gold,2500,25,1,12
1,Iron,9200,92,1,13
1,Marble,48000,24,6,20
1,Copper,320000,64,7,8
1,Gold,3400,34,1,9
1,Copper,230000,46,7,20
1,Iron,8100,81,1,13
1,Copper,11000,11,4,11
1,Aluminum,105000,70,5,11
1,Iron,420000,84,7,20
1,Aluminum,85000,17,7,15
1,Copper,160000,32,7,15
1,Marble,40000,40,4,17
1,Aluminum,35500,71,3,3
1,Iron,60000,40,5,4
1,Sandstone,96000,48,6,18
1,Aluminum,49000,49,4,4
1,Copper,12600,63,2,1
1,Copper,8900,89,1,13
1,Copper,164000,82,6,17
1,Marble,79000,79,4,11
1,Gold,60000,40,5,9
1,Gold,15800,79,2,19
1,Sandstone,32000,32,4,14
